id	isbn	title	authors	publication_year	
7299	930452895	Driving Miss Daisy	Alfred Uhry	1986	
7300	937295809	Meet Samantha: An American Girl (American Girls: Samantha, #1)	Susan S. Adler, Renée Graef, Nancy Niles	1986	
7301	937611352	Heal Your Body	Louise L. Hay	1976	
7302	937832383	Il Principe	Niccolò Machiavelli, Adolph Caso, Rufus Goodwin, Benjamin Martinez	1513	
7303	938077872	धर्मपद [Dhammapada]	Anonymous, Ananda Maitreya, Thich Nhat Hanh, Balangoda Ananda Maitreya Maitreya	-500	
7304	942299795	La Société du Spectacle	Guy Debord, Donald Nicholson-Smith	1967	
7305	955944686	Percy Jackson and the Sword of Hades	Rick Riordan	2009	
7306	961454733	Art & Fear: Observations on the Perils (and Rewards) of Artmaking	David Bayles, Ted Orland	1993	
7307	963192566	Servant of the Bones	Anne Rice	1996	
7308	964729237	The Shack: Where Tragedy Confronts Eternity	William Paul Young	2007	
7309	965030067	A Girl Named Zippy: Growing up Small in Mooreland, Indiana 	Haven Kimmel	2001	
7310	965341984	ねじまき鳥クロニクル [Nejimakidori kuronikuru]	Haruki Murakami, Jay Rubin	1994	
7311	965476022	The Black Stallion	Walter Farley, Keith Ward	1941	
7312	965818675	The Time Traveler's Wife	Audrey Niffenegger	2003	
7313	965900584	The Fabric of the Cosmos: Space, Time and the Texture of Reality	Brian Greene	2003	
7314	965904830	Dress Your Family in Corduroy and Denim	David Sedaris	2004	
7315	965913228	Oracle Night	Paul Auster	2004	
7316	965925072	Shadow Divers: The True Adventure of Two Americans Who Risked Everything to Solve One of the Last Mysteries of World War II	Robert Kurson	2004	
7317	967089735	Nourishing Traditions:  The Cookbook that Challenges Politically Correct Nutrition and the Diet Dictocrats	Sally Fallon Morell	1995	
7318	967673747	Princess: A True Story of Life Behind the Veil in Saudi Arabia 	Jean Sasson	1992	
7319	967686563	The Book of Mormon	Anonymous, Joseph Smith Jr.	1830	
7320	968709184	To Build a Fire	Jack London	1903	
7321	970398107	Anne Rice's The Tale of the Body Thief (Graphic Novel)	Faye Perozich, Travis Moore, Michael Halbleib, Daerick Gröss, Anne Rice	2000	
7322	971977550	30 Days of Night	Steve Niles, Ben Templesmith	2001	
7323	974320625	Emotional Intelligence 2.0	Travis Bradberry, Jean Greaves, Patrick Lencioni	2003	
7324	974461229	The Art of Amy Brown	Amy Brown, Charles  de Lint	2003	
7325	974607800	Bartleby, the Scrivener: A Story of Wall Street	Herman Melville	1853	
7326	976165910	MEG: A Novel of Deep Terror	Steve Alten	1997	
7327	978970764	John Dies at the End	David Wong	2007	
7328	979528534	Matterhorn: A Novel of the Vietnam War	Karl Marlantes	2009	
7329	979777704	Brain Rules: 12 Principles for Surviving and Thriving at Work, Home, and School	John Medina	2008	
7330	980003431	The Crown Conspiracy	Michael J. Sullivan	2008	
7331	981546269	The Second Ship	Richard   Phillips	2006	
7332	983157200	Half-Blood	Jennifer L. Armentrout	2011	
7333	983157227	Pure	Jennifer L. Armentrout	2012	
7334	983212546	Playing for Keeps	R.L. Mathewson	2011	
7335	988393506	Losing It	Cora Carmack	2012	
7336	988573229	Truce	R.L. Mathewson	2013	
7337	991686004	Ten Tiny Breaths	K.A. Tucker	2012	
7338	1101623209	Gathering Darkness	Morgan Rhodes, Michelle Rowen	2014	
7339	1101874082	Adultério	Paulo Coelho	2014	
7340	1101874937	Lab Girl	Hope Jahren	2016	
7341	1101874996	The Cartel	Don Winslow	2015	
7342	1101875046	In the Unlikely Event	Judy Blume	2015	
7343	1101875100	M Train	Patti Smith	2015	
7344	1101875895	Our Souls at Night	Kent Haruf	2015	
7345	1101875941	Sweetbitter	Stephanie Danler	2016	
7346	1101883073	Lilac Girls	Martha Hall Kelly	2016	
7347	1101886692	Sleeping Giants	Sylvain Neuvel	2016	
7348	1101902760	A Mother's Reckoning: Living in the Aftermath of Tragedy	Sue Klebold	2016	
7349	1101904224	Dark Matter	Blake Crouch	2016	
7350	1101946342	Grey	E.L. James	2015	
7351	1101947136	Homegoing	Yaa Gyasi	2016	
7352	1101965509	Star Wars: The Force Awakens	Alan Dean Foster, Lawrence Kasdan, J.J. Abrams, Michael Arndt	2015	
7353	1101990260	The Widow	Fiona Barton	2016	
7354	1250000238	Dragon's Oath	P.C. Cast, Kristin Cast	2011	
7355	1250000246	Lenobia's Vow	P.C. Cast, Kristin Cast	2012	
7356	1250000971	The Sins of the Father	Jeffrey Archer	2012	
7357	1250001544	Third Grave Dead Ahead	Darynda Jones	2012	
7358	1250002826	Infamous	Sherrilyn Kenyon	2012	
7359	1250003326	Of Poseidon	Anna Banks	2012	
7360	1250006325	Torn	Amanda Hocking	2010	
7361	1250006333	Ascend	Amanda Hocking	2012	
7362	1250010098	Keep Quiet	Lisa Scottoline	2014	
7363	1250010691	Necessary Lies	Diane Chamberlain	2013	
7364	1250010713	The Silent Sister	Diane Chamberlain	2014	
7365	1250011914	Whispers at Moonrise 	C.C. Hunter	2012	
7366	1250012570	Eleanor & Park	Rainbow Rowell	2013	
7367	1250014409	Fifth Grave Past the Light	Darynda Jones	2013	
7368	1250014468	Fourth Grave Beneath My Feet	Darynda Jones	2012	
7369	1250014522	Calling Me Home	Julie Kibler	2012	
7370	1250015545	The Good House	Ann Leary	2013	
7371	1250019672	Ladies' Night 	Mary Kay Andrews	2013	
7372	1250019699	Save the Date	Mary Kay Andrews	2014	
7373	1250019834	First Frost	Sarah Addison Allen	2015	
7374	1250021529	If You Find Me	Emily Murdoch	2013	
7375	1250022061	The Long Way Home	Louise Penny	2014	
7376	1250022088	The Nature of the Beast	Louise Penny	2015	
7377	1250022134	A Great Reckoning	Louise Penny	2016	
7378	1250024102	Paganinikontraktet	Lars Kepler, Laura A. Wideburg	2010	
7379	1250024633	Horde	Ann Aguirre	2013	
7380	1250028647	Z: A Novel of Zelda Fitzgerald	Therese Anne Fowler	2013	
7381	1250029880	Styxx	Sherrilyn Kenyon	2013	
7382	1250031125	The Beautiful Mystery	Louise Penny	2012	
7383	1250034485	Be Careful What You Wish For	Jeffrey Archer	2014	
7384	1250034515	Mightier Than the Sword	Jeffrey Archer	2015	
7385	1250034604	That Night	Chevy Stevens	2014	
7386	1250039819	Shotgun Lovesongs	Nickolas Butler	2014	
7387	1250044650	Heartless	Marissa Meyer	2016	
7388	1250045630	Sixth Grave on the Edge	Darynda Jones	2014	
7389	1250046394	Once We Were Brothers	Ronald H. Balson	2010	
7390	1250049377	Landline	Rainbow Rowell	2014	
7391	1250049555	Carry On	Rainbow Rowell	2015	
7392	1250052386	Lead	Kylie Scott	2014	
7393	1250058902	Humans of New York: Stories	Brandon Stanton	2015	
7394	1250059305	My True Love Gave to Me: Twelve Holiday Stories	Stephanie Perkins, Holly Black, Ally Carter, Matt de la Pena, Gayle Forman, Jenny Han, David Levithan, Kelly Link, Myra McEntire, Rainbow Rowell, Laini Taylor, Kiersten White	2014	
7395	1250060559	Fairest	Marissa Meyer	2015	
7396	1250061776	A Little Something Different	Sandy   Hall	2014	
7397	1250067847	Orphan X	Gregg Hurwitz	2016	
7398	1250069793	Truly Madly Guilty	Liane Moriarty	2016	
7399	1250074134	All the Ugly and Wonderful Things	Bryn Greenwood	2016	
7400	1250076420	The Forgetting Time	Sharon Guskin	2016	
7401	1250076927	The Two-Family House	Lynda Cohen Loigman	2016	
7402	1250077001	Furiously Happy	Jenny  Lawson	2015	
7403	1250077699	The Sound of Gravel	Ruth Wariner	2016	
7404	1250083214	Dirty	Kylie Scott	2016	
7405	1250091845	Stars Above	Marissa Meyer	2016	
7406	1250095255	Caraval	Stephanie Garber	2017	
7407	1250109302	One With You	Sylvia Day	2016	
7408	1250121000	Behind Closed Doors	B.A. Paris	2016	
7409	1250128544	Love Warrior	Glennon Doyle Melton	2016	
7410	1301347949	Real	Katy Evans	2013	
7411	1301627445	Never Too Far (Too Far, #2)	Abbi Glines	2013	
7412	1301786454	Music of the Heart	Katie Ashley	2013	
7413	1301949825	Hopeless	Colleen Hoover	2012	
7414	1400030269	Plateforme	Michel Houellebecq	2001	
7415	1400031001	Any Human Heart	William  Boyd	2002	
7416	1400031044	My Name Is Asher Lev	Chaim Potok	1972	
7417	1400031362	Morality for Beautiful Girls	Alexander McCall Smith	2001	
7418	1400031524	Hundarna i Riga	Henning Mankell, Laurie Thompson	1992	
7419	1400031540	Den femte kvinnan	Henning Mankell, Steven T. Murray	1996	
7420	1400031567	Villospår	Henning Mankell, Steven T. Murray	1995	
7421	1400031575	Mördare utan ansikte	Henning Mankell, Steven T. Murray	1991	
7422	1400031605	Noises Off	Michael Frayn	1982	
7423	1400031699	The Little Friend	Donna Tartt	2002	
7424	1400031702	The Secret History	Donna Tartt	1992	
7425	1400031818	The Full Cupboard of Life	Alexander McCall Smith	2003	
7426	1400032059	1491: New Revelations of the Americas Before Columbus	Charles C. Mann	2005	
7427	1400032539	His Excellency: George Washington	Joseph J. Ellis	2004	
7428	1400032717	The Curious Incident of the Dog in the Night-Time	Mark Haddon	2003	
7429	1400032814	Diary	Chuck Palahniuk	2003	
7430	1400032822	Haunted: A Novel of Stories	Chuck Palahniuk	2005	
7431	1400033411	Beloved	Toni Morrison	1987	
7432	1400033446	Tar Baby	Toni Morrison	1981	
7433	1400033543	You Shall Know Our Velocity!	Dave Eggers	2002	
7434	1400033721	Parallel Worlds: A Journey Through Creation, Higher Dimensions, and the Future of the Cosmos	Michio Kaku	2004	
7435	1400033837	A Thousand Acres	Jane Smiley	1991	
7436	1400033888	İstanbul: Hatıralar ve Şehir	Orhan Pamuk	2003	
7437	1400034205	The Razor's Edge	W. Somerset Maugham	1944	
7438	1400034698	Doce cuentos peregrinos	Gabriel García Márquez	1992	
7439	1400034728	When Bad Things Happen to Good People	Harold S. Kushner	1981	
7440	1400034779	The No. 1 Ladies' Detective Agency 	Alexander McCall Smith	1998	
7441	1400041201	Heat	Bill Buford	2006	
7442	1400041988	Pnin	Vladimir Nabokov, David Lodge	1953	
7443	1400043336	El general en su laberinto	Gabriel García Márquez, Edith Grossman	1989	
7444	1400043468	My Life in France	Julia Child, Alex Prud'Homme	2006	
7445	1400043875	The Ruins	Scott B. Smith	2006	
7446	1400043921	The Keep	Jennifer Egan	2006	
7447	1400044162	Half of a Yellow Sun	Chimamanda Ngozi Adichie	2006	
7448	1400044618	 めくらやなぎと、眠る女 [Mekurayanagi to, nemuru onna]	Haruki Murakami, Philip Gabriel, Jay Rubin	2006	
7449	1400045371	Loving What Is: Four Questions That Can Change Your Life	Byron Katie, Stephen Mitchell	2002	
7450	1400047463	The Double Bind	Chris Bohjalian	2007	
7451	1400049350	Barefoot in Paris	Ina Garten, Quentin Bacon	2004	
7452	1400049628	The Zombie Survival Guide: Complete Protection from the Living Dead	Max Brooks	2004	
7453	1400052173	The Immortal Life of Henrietta Lacks	Rebecca Skloot	2010	
7454	1400052297	A Piece of Cake: A Memoir	Cupcake Brown	2006	
7455	1400052580	Everyday Italian: 125 Simple and Delicious Recipes	Giada De Laurentiis	2005	
7456	1400054346	Barefoot Contessa at Home: Everyday Recipes You'll Make Over and Over Again	Ina Garten, Quentin Bacon	2006	
7457	1400054354	Barefoot Contessa Back to Basics	Ina Garten, Quentin Bacon	2008	
7458	1400061261	Can't Wait to Get to Heaven	Fannie Flagg	2006	
7459	1400062756	Mindset: The New Psychology of Success	Carol S. Dweck	2006	
7460	1400063256	American Lion: Andrew Jackson in the White House	Jon Meacham	2008	
7461	1400063515	The Black Swan: The Impact of the Highly Improbable	Nassim Nicholas Taleb	2007	
7462	1400063736	Let the Great World Spin	Colum McCann	2009	
7463	1400063841	Last Night in Twisted River	John Irving	2009	
7464	1400063973	The 19th Wife	David Ebershoff	2008	
7465	1400064112	The Lucifer Effect: Understanding How Good People Turn Evil	Philip G. Zimbardo	2007	
7466	1400064163	Unbroken: A World War II Story of Survival, Resilience, and Redemption	Laura Hillenbrand	2010	
7467	1400064287	Made to Stick: Why Some Ideas Survive and Others Die	Chip Heath, Dan Heath	2006	
7468	1400064562	Jaws	Peter Benchley	1974	
7469	1400064759	American Wife	Curtis Sittenfeld	2008	
7470	1400064996	A. Lincoln: A Biography	Ronald C. White Jr.	2009	
7471	1400065453	The Thousand Autumns of Jacob de Zoet	David Mitchell	2010	
7472	1400065593	Kabul Beauty School: An American Woman Goes Behind the Veil	Deborah Rodriguez	2007	
7473	1400065674	The Bone Clocks	David Mitchell	2014	
7474	1400065755	Still Life with Bread Crumbs	Anna Quindlen	2014	
7475	1400065933	I Still Dream About You	Fannie Flagg	2010	
7476	1400065941	The All-Girl Filling Station's Last Reunion	Fannie Flagg	2013	
7477	1400066124	Letter to My Daughter	Maya Angelou	2008	
7478	1400066212	Strength in What Remains	Tracy Kidder	2000	
7479	1400066336	The Descendants	Kaui Hart Hemmings	2007	
7480	1400066409	Super Sad True Love Story	Gary Shteyngart	2010	
7481	1400067111	Shanghai Girls	Lisa See	2009	
7482	1400067243	Lucky Us	Amy Bloom	2014	
7483	1400067553	Behind the Beautiful Forevers: Life, Death, and Hope in a Mumbai Undercity	Katherine Boo	2012	
7484	1400067669	Thomas Jefferson: The Art of Power	Jon Meacham	2012	
7485	1400067685	The Burgess Boys	Elizabeth Strout	2013	
7486	1400067693	My Name Is Lucy Barton	Elizabeth Strout, Goran Skrobonja	2016	
7487	1400067820	Antifragile: Things That Gain from Disorder	Nassim Nicholas Taleb	2012	
7488	1400067898	Elizabeth The Queen: The Life Of A Modern Monarch	Sally Bedell Smith	2012	
7489	1400068096	Open City	Teju Cole	2011	
7490	1400068169	Clara and Mr. Tiffany	Susan Vreeland	2010	
7491	1400068312	Sisterland	Curtis Sittenfeld	2013	
7492	1400068320	Eligible	Curtis Sittenfeld	2016	
7493	1400068932	Major Pettigrew's Last Stand	Helen Simonson	2010	
7494	1400069262	Beatrice and Virgil	Yann Martel	2010	
7495	1400069289	The Power of Habit	Charles Duhigg	2011	
7496	1400069343	Lots of Candles, Plenty of Cake	Anna Quindlen	2012	
7497	1400069599	TransAtlantic	Colum McCann	2013	
7498	1400069629	Delicious!	Ruth Reichl	2014	
7499	1400069807	Salt Sugar Fat: How the Food Giants Hooked Us 	Michael Moss	2013	
7500	1400075718	Blue Shoes and Happiness 	Alexander McCall Smith	2006	
7501	1400076196	Saturday	Ian McEwan	2005	
7502	1400077095	The Sunday Philosophy Club 	Alexander McCall Smith	2004	
7503	1400077427	Stumbling on Happiness	Daniel Todd Gilbert	2006	
7504	1400077915	Runaway	Alice Munro	2004	
7505	1400078377	Out  アウト	Natsuo Kirino, Stephen Snyder	1997	
7506	1400078393	Learned Optimism: How to Change Your Mind and Your Life	Martin E.P. Seligman	1990	
7507	1400078431	The Year of Magical Thinking	Joan Didion	2005	
7508	1400078776	Never Let Me Go	Kazuo Ishiguro	2005	
7509	1400078970	Rubicon: The Last Years of the Roman Republic	Tom Holland	2003	
7510	1400079098	Operating Instructions: A Journal of My Son's First Year	Anne Lamott	1993	
7511	1400079276	海辺のカフカ [Umibe no Kafuka]	Haruki Murakami, Philip Gabriel	2002	
7512	1400079446	44 Scotland Street	Alexander McCall Smith	2005	
7513	1400079497	The Plot Against America	Philip Roth	2004	
7514	1400080665	Thunderstruck	Erik Larson	2006	
7515	1400082544	Rachael Ray 365: No Repeats--A Year of Deliciously Different Dinners (A 30-Minute Meal Cookbook)	Rachael Ray	2005	
7516	1400083028	Love Is a Mix Tape: Life and Loss, One Song at a Time	Rob Sheffield	2007	
7517	1400095565	How We Are Hungry	Dave Eggers	2005	
7518	1400095921	Dearly Devoted Dexter	Jeff Lindsay	2005	
7519	1400096278	Suite française 	Irène Némirovsky, Sandra Smith	2004	
7520	1400096685	Incendiary	Chris Cleave	2005	
7521	1400096936	The Power of the Dog	Don Winslow	2005	
7522	1400097029	The Sea	John Banville	2005	
7523	1400097037	Arthur & George	Julian Barnes	2005	
7524	1400139027	One Fifth Avenue	Candace Bushnell, Donna Murphy	2008	
7525	1400203759	Discover an Incredible Life in an Ordinary World	Bob Goff	2012	
7526	1401200605	Batman Hush #1	Jeph Loeb, Jim Lee, Scott Williams	2002	
7527	1401200761	Y: The Last Man Vol. 2: Cycles	Brian K. Vaughan, Pia Guerra, José Marzán Jr.	2003	
7528	1401200923	Batman (Volume 2): Hush	Jeph Loeb, Jim Lee, Scott Williams	2003	
7529	1401201180	The League of Extraordinary Gentlemen, Vol. 2	Alan Moore, Kevin O'Neill	2003	
7530	1401201911	Superman: Red Son	Mark Millar, Kilian Plunkett, Andrew Robinson, Walden Wong, Dave Johnson	2003	
7531	1401202012	Y: The Last Man Vol. 3: One Small Step	Brian K. Vaughan, Pia Guerra, José Marzán Jr., Paul Chadwick	2004	
7532	1401202225	Fables, Volume 4: March of the Wooden Soldiers	Bill Willingham, Mark Buckingham, Craig Hamilton, Steve Leialoha, P. Craig Russell	2004	
7533	1401202322	Y: The Last Man Vol. 4: Safeword	Brian K. Vaughan, Pia Guerra, Goran Parlov, José Marzán Jr.	2004	
7534	1401202527	Superman: Birthright 1-12	Mark Waid, Alfred Gough, Miles Millar, Dave McCaig, Gerry Alanguilan, Leinil Francis Yu	2003	
7535	1401203140	Pride of Baghdad	Brian K. Vaughan, Niko Henrichon	2006	
7536	1401203507	DC: The New Frontier, Volume 1	Darwyn Cooke, Dave Stewart, Jared K. Fletcher	2004	
7537	1401204252	Batman: Arkham Asylum - A Serious House on Serious Earth	Grant Morrison, Dave McKean	1989	
7538	1401204457	Batman Chronicles: Volume 1	Bill Finger, Gardner F. Fox, Bob Kane, Jerry Robinson, Sheldon Moldoff	2005	
7539	1401204589	Identity Crisis	Brad Meltzer, Rags Morales, Michael Bair, Joss Whedon	2004	
7540	1401204864	Fables, Volume 5: The Mean Seasons	Bill Willingham, Mark Buckingham, Steve Leialoha, Tony Akins, Jimmy Palmiotti	2005	
7541	1401204872	Y: The Last Man Vol. 5: Ring of Truth	Brian K. Vaughan, Pia Guerra, José Marzán Jr.	2004	
7542	1401204953	We3	Grant Morrison, Frank Quitely	2005	
7543	1401205003	Fables, Volume 6: Homelands	Bill Willingham, Mark Buckingham, David Hahn, Steve Leialoha	2006	
7544	1401205011	Y: The Last Man Vol. 6: Girl on Girl	Brian K. Vaughan, Pia Guerra, Goran Sudžuka, José Marzán Jr.	2005	
7545	1401207529	Batman: Year One	Frank Miller, David Mazzucchelli, Richmond Lewis, Dennis O'Neil	1987	
7546	1401207928	V for Vendetta	Alan Moore, David   Lloyd	1990	
7547	1401209149	All-Star Superman (Volume 1)	Grant Morrison, Frank Quitely	2007	
7548	1401210007	Fables, Volume 7: Arabian Nights (and Days)	Bill Willingham, Mark Buckingham, Steve Leialoha, Jim Fern, Jimmy Palmiotti, Andrew Pepoy	2006	
7549	1401210015	Fables, Volume 8: Wolves	Bill Willingham, Mark Buckingham, Steve Leialoha, Shawn McManus, Andrew Pepoy	2006	
7550	1401210074	Neverwhere Graphic Novel	Mike Carey, Glenn Fabry, Neil Gaiman	1996	
7551	1401210090	Y: The Last Man Vol. 7: Paper Dolls	Brian K. Vaughan, Pia Guerra, Goran Sudžuka, José Marzán Jr.	2006	
7552	1401210104	Y: The Last Man, Vol. 8: Kimono Dragons	Brian K. Vaughan, Pia Guerra, Goran Sudžuka, José Marzán Jr.	2006	
7553	1401210821	The Absolute Sandman, Volume One	Neil Gaiman, Mike Dringenberg, Chris Bachalo, Michael Zulli, Kelly Jones, Charles Vess, Colleen Doran, Malcolm Jones III, Steve Parkhouse, Daniel Vozzo, Lee Loughridge, Steve Oliff, Todd Klein, Dave McKean, Sam Kieth	2006	
7554	1401212409	Batman: Batman and Son	Grant Morrison, Andy Kubert, John Van Fleet, Jesse Delperdang	2005	
7555	1401213162	Fables, Volume 9: Sons of Empire	Bill Willingham, Mark Buckingham, Steve Leialoha, Andrew Pepoy, Gene Ha, Joshua Middleton, Iñaki Miranda, Mike Allred	2007	
7556	1401213510	Y: The Last Man Vol. 9: Motherland	Brian K. Vaughan, Pia Guerra, Goran Sudžuka, José Marzán Jr.	2007	
7557	1401215815	Joker	Brian Azzarello, Lee Bermejo	2008	
7558	1401216226	Batman: The Man Who Laughs	Ed Brubaker, Doug Mahnke, Patrick Zircher, Aaron Sowd, Steve Bird	2005	
7559	1401216862	Fables, Volume 10: The Good Prince	Bill Willingham, Mark Buckingham, Steve Leialoha, Aaron Alexovich, Andrew Pepoy	2008	
7560	1401218377	All-Star Superman, Vol. 2	Grant Morrison, Frank Quitely	2009	
7561	1401219217	Y: The Last Man - The Deluxe Edition Book One	Brian K. Vaughan, Pia Guerra, José Marzán Jr., Pamela Rambo, Clem Robins, J.G. Jones	2008	
7562	1401223036	Batman: Whatever Happened to the Caped Crusader?	Neil Gaiman, Andy Kubert, Matt Wagner, Simon Bisley, Bernie Mireault, Mark Buckingham	2009	
7563	1401223176	Absolute Batman Hush	Jeph Loeb, Jim Lee, Scott Williams, Alex Sinclair, Richard Starkings	2002	
7564	1401224687	Superman: Earth One, Volume 1	J. Michael Straczynski, Shane Davis, Sandra Hope, Barbara Ciardo, Rob Leigh	2010	
7565	1401225659	The Unwritten, Volume 1: Tommy Taylor and the Bogus Identity	Mike Carey, Bill Willingham, Peter Gross	2010	
7566	1401225667	Batman & Robin: Batman Reborn	Grant Morrison, Frank Quitely, Philip Tan, Jonathan Glapion, Alex Sinclair	2010	
7567	1401226922	Batwoman: Elegy	Greg Rucka, J.H. Williams III, Rachel Maddow	2010	
7568	1401226965	Sweet Tooth, Volume 1: Out of the Deep Woods	Jeff Lemire, José Villarrubia, Carlos M. Mangual	2010	
7569	1401228305	American Vampire, Volume 1	Scott Snyder, Stephen King, Rafael Albuquerque	2010	
7570	1401229697	Daytripper	Fábio Moon, Gabriel Bá, Craig Thompson, Dave Stewart, Sean Konot	2011	
7571	1401232086	Batman: Earth One, Volume 1	Geoff Johns, Gary Frank, Jon Sibal, Brad Anderson, Rob Leigh	2012	
7572	1401235417	Batman, Volume 1: The Court of Owls	Scott Snyder, Greg Capullo, Jonathan Glapion	2012	
7573	1401235638	Wonder Woman, Volume 1: Blood	Brian Azzarello, Cliff Chiang, Tony Akins, Dan Green, Matthew Wilson, Jared K. Fletcher	2012	
7574	1401237770	Batman, Volume 2: The City of Owls	Scott Snyder, Greg Capullo, Jonathan Glapion, James Tynion IV, Rafael Albuquerque, Jason Fabok, Becky Cloonan, Andy Clarke, Sandu Florea	2013	
7575	1401242340	Batman, Volume 3: Death of the Family	Scott Snyder, Greg Capullo, Jonathan Glapion	2013	
7576	1401248969	The Sandman: Overture	Neil Gaiman, J.H. Williams III, Dave Stewart, Todd Klein	2015	
7577	1401303277	For One More Day	Mitch Albom	2006	
7578	1401303366	The Middle Place	Kelly Corrigan	2005	
7579	1401303382	Always Looking Up: The Adventures of an Incurable Optimist	Michael J. Fox	2008	
7580	1401307450	Scar Tissue	Anthony Kiedis, Larry Sloman	2004	
7581	1401307787	Wherever You Go, There You Are: Mindfulness Meditation in Everyday Life	Jon Kabat-Zinn	1994	
7582	1401307922	The Creative License: Giving Yourself Permission to Be The Artist You Truly Are	Danny Gregory	2005	
7583	1401308201	Wicked: The Grimmerie, a Behind-the-Scenes Look at the Hit Broadway Musical	David Cote, Stephen Schwartz, Joan Marcus, Winnie Holzman	2005	
7584	1401308589	The Five People You Meet in Heaven	Mitch Albom	2003	
7585	1401309666	The Long Tail: Why the Future of Business Is Selling Less of More	Chris Anderson	2006	
7586	1401322433	Nigella Express: Good Food Fast	Nigella Lawson	2007	
7587	1401322786	The Time Keeper	Mitch Albom	2012	
7588	1401322905	Free: The Future of a Radical Price	Chris Anderson	2009	
7589	1401323251	The Last Lecture	Randy Pausch, Jeffrey Zaslow	2008	
7590	1401323588	And Another Thing... (Hitchhiker's Guide to the Galaxy, #6)	Eoin Colfer	2009	
7591	1401323820	Heat Wave	Richard Castle	2008	
7592	1401324029	Naked Heat	Richard Castle	2010	
7593	1401324436	Heat Rises	Richard Castle	2011	
7594	1401340873	Arcadia	Lauren Groff	2012	
7595	1401340903	The Physick Book of Deliverance Dane	Katherine Howe	2009	
7596	1401341705	The Collaborator	Margaret Leroy	2011	
7597	1401359604	Bergdorf Blondes	Plum Sykes	2004	
7598	1401359795	Ночной дозор 	Sergei Lukyanenko, Andrew Bromfield	1998	
7599	1401360203	Дневной дозор	Sergei Lukyanenko, Andrew Bromfield	2000	
7600	1401360211	Сумеречный дозор	Sergei Lukyanenko, Andrew Bromfield	2004	
7601	1401360238	The Debutante Divorcée	Plum Sykes	2006	
7602	1401900127	Who Will Cry When You Die? Life Lessons from the Monk Who Sold His Ferrari	Robin S. Sharma	1999	
7603	1401902162	‎The Power of Intention‎	Wayne W. Dyer	2004	
7604	1401904599	Ask and It Is Given: Learning to Manifest Your Desires	Esther Hicks, Jerry Hicks, Wayne W. Dyer	2004	
7605	1401908977	Left to Tell: Discovering God Amidst the Rwandan Holocaust	Immaculée Ilibagiza, Steve Erwin	2006	
7606	1401911846	Change Your Thoughts - Change Your Life: Living the Wisdom of the Tao	Wayne W. Dyer	1899	
7607	1401917593	The Law of Attraction: The Basics of the Teachings of Abraham	Esther Hicks, Jerry Hicks	2006	
7608	1401918743	Money, and the Law of Attraction: Learning to Attract Wealth, Health, and Happiness	Esther Hicks, Jerry Hicks	2006	
7609	1402179626	Two Years Before the Mast	Richard Henry Dana Jr.	1840	
7610	1402208766	Mr. Darcy's Diary	Amanda Grange	2005	
7611	1402244428	Backstage Pass (Sinners on Tour, #1)	Olivia Cunning	2010	
7612	1402245793	Rock Hard	Olivia Cunning	2011	
7613	1402245858	Hot Ticket	Olivia Cunning	2013	
7614	1402262272	Catching Jordan	Miranda Kenneally	2011	
7615	1402271514	Double Time	Olivia Cunning	2012	
7616	1402271875	Stealing Parker	Miranda Kenneally	2012	
7617	1402284314	The Paris Architect	Charles Belfoure	2013	
7618	1402726023	Der Schweizerische Robinson	Johann David Wyss, Scott McKowen, Arthur Pober	1812	
7619	1402735421	Művészeti Anatómia	Jenő Barcsay	1953	
7620	1402784031	Tiger's Curse	Colleen Houck	2011	
7621	1402792808	A Walk Across the Sun	Corban Addison	2011	
7622	1402798431	Tiger's Destiny	Colleen Houck	2012	
7623	1405034149	Kushiel's Avatar	Jacqueline Carey	2003	
7624	1405038160	The Six Sacred Stones	Matthew Reilly	2007	
7625	1405088834	The Temporal Void	Peter F. Hamilton	2008	
7626	1405092726	Revelation	C.J. Sansom	2008	
7627	1405201711	The Faraway Tree Stories (The Enchanted Wood, The Faraway Tree, The Folk of the Faraway Tree)	Enid Blyton	1991	
7628	1405204265	The Tao of Pooh	Benjamin Hoff, Ernest H. Shepard	1982	
7629	1405204664	Le Roi Babar	Jean de Brunhoff	1933	
7630	1405206128	The Hostile Hospital	Lemony Snicket, Brett Helquist	2001	
7631	1405209496	National Velvet	Enid Bagnold	1935	
7632	1405258217	Code Name Verity	Elizabeth Wein	2012	
7633	1405910216	On the Island	Tracey Garvis-Graves	2011	
7634	1405915293	Daughter	Jane Shemilt	2014	
7635	1406309354	Snakehead	Anthony Horowitz	2007	
7636	1406310255	The Knife of Never Letting Go	Patrick Ness	2008	
7637	1406310263	The Ask and the Answer	Patrick Ness	2009	
7638	1406310271	Monsters of Men	Patrick Ness	2010	
7639	1406311529	 A Monster Calls 	Patrick Ness, Jim Kay, Siobhan Dowd	2011	
7640	1406321346	Clockwork Princess	Cassandra Clare	2013	
7641	1406331163	The Rest of Us Just Live Here	Patrick Ness	2015	
7642	1406350486	More Than This	Patrick Ness	2013	
7643	1406501069	An Old-Fashioned Girl	Louisa May Alcott	1869	
7644	1406501077	"Jo's Boys, and How They Turned Out: A Sequel to ""Little Men"""	Louisa May Alcott	1886	
7645	1406507881	Дядя Ваня	Anton Chekhov	1897	
7646	1406790273	An Essay Concerning Human Understanding	John Locke	1689	
